"Student ID","Full Name","Email","Age"
"1","Louis Janssens","louis.janssens@student.be","19"
"2","Emma Peeters","emma.peeters@student.be","21"
"3","Noah Dubois","noah.dubois@student.be","20"
"4","Mila Claes","mila.claes@student.be","22"
"5","Jules Maes","jules.maes@student.be","18"
"6","Lina Vermeulen","lina.vermeulen@student.be","23"
"7","Arthur Wouters","arthur.wouters@student.be","20"
"8","Nina Martens","nina.martens@student.be","21"
"9","Seppe Dierckx","seppe.dierckx@student.be","19"
"10","Elise Goossens","elise.goossens@student.be","22"
"11","Daniel","daniel@example.com","24"
"12","Daniela","daniela@example.com","25"
"15","Clara","clara@sample.com","21"
"16","John",,"22"
"17","Emma",,"21"
